X_Target,Y_Target
-21.30392456,0
-21.16503525,0
-21.02614784,0
-20.88725853,0
-20.74836922,0
-20.6094799,0
-20.47059059,0
-20.33170319,0
-20.19281387,0
-20.05392456,0
-19.91503525,0
-19.77614784,0
-19.63725853,0
-19.49836922,0
-19.3594799,0
-19.22059059,0
-19.08170319,0
-18.94281387,0
-18.80392456,0
-18.66503525,0
-18.52614594,0
-18.38725853,0
-18.24836922,0
-18.1094799,0
-17.97059059,0
-17.83170319,0
-17.69281387,0
-17.55392456,0
-17.41503525,0
-17.27614594,0
-17.13725853,0
-16.99836922,0
-16.8594799,0
-16.72059059,0
-16.58170319,0
-16.44281387,0
-16.30392456,0
-16.16503525,0
-16.02614594,0
-15.88725758,0
-15.74836922,0
-15.6094799,0
-15.47059155,0
-15.33170223,0
-15.19281387,0
-15.05392456,0
-14.91503525,0
-14.77614689,0
-14.63725758,0
-14.49836922,0
-14.3594799,0
-14.22059155,0
-14.08170223,0
-13.94281387,0
-13.80392456,0
-13.66503525,0
-13.52614689,0
-13.38725758,0
-13.24836922,0
-13.1094799,0
-12.97059155,0
-12.83170223,0
-12.69281387,0
-12.55392456,0
-12.41503525,0
-12.27614689,0
-12.13725758,0
-11.99836922,0
-11.8594799,0
-11.72059155,0
-11.58170223,0
-11.44281387,0
-11.30392456,0
-11.16503525,0
-11.02614689,0
-10.88725758,0
-10.74836922,0
-10.6094799,0
-10.47059155,0
-10.33170223,0
-10.19281387,0
-10.05392456,0
-9.915035248,0
-9.776146889,0
-9.637257576,0
-9.498369217,0
-9.359479904,0
-9.220591545,0
-9.081702232,0
-8.942813873,0
-8.803924561,0
-8.665035248,0
-8.526146889,0
-8.387257576,0
-8.248369217,0
-8.109479904,0
-7.970591068,0
-7.831702232,0
-7.692813396,0
-7.553924561,0
-7.415035725,0
-7.276146889,0
-7.137258053,0
-6.998369217,0
-6.859479904,0
-6.720591068,0
-6.581702232,0
-6.442813396,0
-6.303924561,0
-6.165035725,0
-6.026146889,0
-5.887258053,0
-5.748369217,0
-5.609479904,0
-5.470591068,0
-5.331702232,0
-5.192813396,0
-5.053924561,0
-4.915035725,0
-4.776146889,0
-4.637258053,0
-4.498369217,0
-4.359479904,0
-4.220591068,0
-4.081702232,0
-3.942813396,0
-3.803924561,0
-3.665035725,0
-3.526146889,0
-3.387257814,0
-3.248368979,0
-3.109480143,0
-2.970591307,0
-2.831702232,0
-2.692813396,0
-2.553924561,0
-2.415035725,0
-2.276146889,0
-2.137257814,0
-1.998368979,0
-1.859480143,0
-1.720591187,0
-1.581702352,0
-1.442813396,0
-1.303924561,0
-1.165035725,0
-1.02614677,0
-0.887257874,0
-0.748368979,0
-0.609480143,0
-0.470591217,0
-0.331702352,0
-0.192813456,0
-0.053924564,0
0.084964328,0
0.223853216,0
0.362742096,0
0.501630962,0
0.640519857,0
0.779408753,0
0.918297648,0
1.057186484,0
1.196075439,0
1.334964275,0
1.47385323,0
1.612742066,0
1.751631021,0
1.890519857,0
2.029408693,0
2.168297768,0
2.307186604,0
2.446075439,0
2.584964275,0
2.723853111,0
2.862742186,0
3.001631021,0
3.140519857,0
3.279408693,0
3.418297529,0
3.557186604,0
3.696075439,0
3.834964275,0
3.973853111,0
4.112741947,0
4.251630783,0
4.390520096,0
4.529408932,0
4.668297768,0
4.807186604,0
4.946075439,0
5.084964275,0
5.223853111,0
5.362741947,0
5.501630783,0
5.640520096,0
5.779408932,0
5.918297768,0
6.057186604,0
6.196075439,0
6.334964275,0
6.473853111,0
6.612741947,0
6.751630783,0
6.890520096,0
7.029408932,0
7.168297768,0
7.307186604,0
7.446075439,0
7.584964275,0
7.723853111,0
7.862741947,0
8.001630783,0
8.140520096,0
8.279408455,0
8.418297768,0
8.557186127,0
8.696075439,0
8.834964752,0
8.973853111,0
9.112742424,0
9.251630783,0
9.390520096,0
9.529408455,0
9.668297768,0
9.807186127,0
9.946075439,0
10.08496475,0
10.22385311,0
10.36274242,0
10.50163078,0
10.6405201,0
10.77940845,0
10.91829777,0
11.05718613,0
11.19607544,0
11.33496475,0
11.47385311,0
11.61274242,0
11.75163078,0
11.8905201,0
12.02940845,0
12.16829777,0
12.30718613,0
12.44607544,0
12.58496475,0
12.72385311,0
12.86274242,0
13.00163078,0
13.1405201,0
13.27940845,0
13.41829777,0
13.55718613,0
13.69607544,0
13.83496475,0
13.97385311,0
14.11274242,0
14.25163078,0
14.3905201,0
14.52940845,0
14.66829777,0
14.80718613,0
14.94607544,0
15.08496475,0
15.22385311,0
15.36274242,0
15.50163078,0
15.6405201,0
15.77940845,0
15.91829777,0
16.05718613,0
16.19607544,0
16.33496475,0
16.47385406,0
16.61274147,0
16.75163078,0
16.8905201,0
17.02940941,0
17.16829681,0
17.30718613,0
17.44607544,0
17.58496475,0
17.72385406,0
17.86274147,0
18.00163078,0
18.1405201,0
18.27940941,0
18.41829681,0
