,acce_x,acce_y,drivetorque_fl_fb,drivetorque_fr_fb,drivetorque_rl_fb,drivetorque_rr_fb,gauss_heading,gauss_v,gauss_x,gauss_y,steerangle_fb
246,0.194932804,9.827321053,50,50,50,50,-2.025760248,0.628443114,4546377.753,-88780.17509,15
247,0.028054515,9.880062103,50,50,50,50,-2.027710747,0.651544956,4546377.833,-88780.27559,15
248,0.161087289,9.497816086,50,50,50,50,-2.028396777,0.637939398,4546377.867,-88780.32591,15
249,-0.066878542,9.511979103,50,50,50,50,-2.028654838,0.666909758,4546377.935,-88780.42654,15
250,0.026761316,9.95425415,48,50,50,50,-2.029976165,0.657522229,4546377.98,-88780.47672,15
251,0.457770318,10.35825825,50,50,50,50,-2.030374973,0.662224174,4546378.06,-88780.57722,23
252,-0.141941994,9.867222786,50,50,50,50,-2.030063517,0.642206633,4546378.094,-88780.63598,23
253,-0.057501037,8.933290482,50,50,50,50,-2.03024328,0.672797009,4546378.162,-88780.73662,23
254,0.152864382,9.57840538,50,50,50,50,-2.032171409,0.679899159,4546378.197,-88780.79538,23
255,0.118173607,9.977664948,50,50,50,50,-2.034911802,0.718078384,4546378.298,-88780.89562,23
256,0.150558025,9.618207932,48,50,48,50,-2.036336593,0.699365348,4546378.344,-88780.9458,23
257,0.273336291,10.16115093,48,48,48,50,-2.037160841,0.726766104,4546378.445,-88781.04603,23
258,0.197837666,10.24740982,48,48,48,50,-2.038441023,0.692293941,4546378.491,-88781.09621,23
259,0.021608692,9.843712807,48,48,48,50,-2.039259412,0.723129956,4546378.548,-88781.20543,23
260,0.265462041,9.60778904,48,48,48,48,-2.039133844,0.719074054,4546378.593,-88781.25561,23
261,0.516672969,9.497027397,48,48,48,48,-2.039300025,0.745543454,4546378.661,-88781.36469,23
262,0.293251187,9.678859711,48,48,48,48,-2.040355569,0.745981228,4546378.718,-88781.41474,23
263,-0.186621651,9.798951149,48,48,48,48,-2.041677695,0.798151665,4546378.82,-88781.52343,9
264,0.165547252,10.07475758,48,48,48,48,-2.042601147,0.791719632,4546378.876,-88781.57348,9
265,0.440715909,9.99185276,46,46,46,46,-2.042758406,0.810213015,4546378.967,-88781.6823,9
266,0.044658151,9.596879959,46,46,46,46,-2.043283049,0.790168855,4546379.023,-88781.7408,9
